name,raw_R_entropy,raw_G_entropy,raw_B_entropy,raw_total_objects,raw_total_area,cloud_percentage
ImgROI_1000_Tile_00_Date_20240603.tif,8.552266797495488,8.182454036893029,7.8626736801189,13,11103,14.38
ImgROI_1003_Tile_00_Date_20240603.tif,9.712341944949944,9.416096095382729,9.207639039193708,34,44287,39.83
ImgROI_1004_Tile_00_Date_20240603.tif,9.397921461446336,9.030328078465452,8.773413510466353,21,40940,18.32
ImgROI_1006_Tile_00_Date_20240603.tif,10.00893341780381,9.860906943907338,9.875966896446023,4,1441,79.92
ImgROI_1007_Tile_00_Date_20240603.tif,10.319753769366477,9.99306246804255,9.873288258406262,28,30313,51.93
ImgROI_1008_Tile_00_Date_20240603.tif,9.567298641000283,9.142011882135558,8.913921316293292,31,35888,32.76
ImgROI_1009_Tile_00_Date_20240603.tif,9.35085478734521,8.921209975716968,8.672904131609073,47,54869,24.92
ImgROI_1011_Tile_00_Date_20240603.tif,7.993902350785449,7.728476635517273,7.667562365596103,2,438,14.25
ImgROI_1012_Tile_00_Date_20240603.tif,9.849181046990308,9.543301607031978,9.424718204113317,22,12901,55.31
ImgROI_1014_Tile_00_Date_20240603.tif,9.106215178889348,8.731943797226648,8.39787463935053,35,45530,28.93
ImgROI_1015_Tile_00_Date_20240603.tif,8.608061820304071,7.787574079569628,7.470659081324715,96,221242,13.67
ImgROI_1016_Tile_00_Date_20240603.tif,8.600411210933652,8.143313782880911,7.88479825349881,67,148030,29.23
ImgROI_1018_Tile_00_Date_20240603.tif,8.87978878541218,8.751880243514451,8.790338278145477,5,4445,62.55
ImgROI_1019_Tile_00_Date_20240603.tif,9.138719507737784,8.82181515431583,8.542393255450477,66,145697,39.85
ImgROI_101_Tile_00_Date_20240603.tif,8.428343631943942,8.188436098366523,8.088523860886255,37,11622,41.4
ImgROI_1020_Tile_00_Date_20240603.tif,9.075822101487038,8.877384314283656,8.865011492463681,37,35636,15.35
ImgROI_1021_Tile_00_Date_20240603.tif,8.675566190590285,8.582314174368008,8.335506363796378,84,56320,51.43
ImgROI_1022_Tile_00_Date_20240603.tif,8.680783716618436,8.57252015989314,8.176606211273649,173,175407,21.61
ImgROI_1023_Tile_00_Date_20240603.tif,8.695476827573495,8.729008535808921,8.219927204971798,168,221217,25.94
ImgROI_1026_Tile_00_Date_20240603.tif,8.687135070598751,8.405377358054691,8.285522707079876,15,21727,47.91
ImgROI_1027_Tile_00_Date_20240603.tif,9.31277306441925,9.144796684418507,8.909304163139849,58,91489,49.61
ImgROI_1031_Tile_00_Date_20240603.tif,10.616270086576913,10.41426135548258,10.376546618834851,2,2395,89.54
ImgROI_1032_Tile_00_Date_20240603.tif,10.06129024193311,9.834079263084543,9.64815094002864,17,9925,62.89
ImgROI_1033_Tile_00_Date_20240603.tif,10.969727854772431,10.73662273863816,10.736739908220422,41,28420,84.53
ImgROI_1034_Tile_00_Date_20240603.tif,8.726044022133012,8.528408492220489,8.213947518139504,157,151463,21.74
ImgROI_1037_Tile_00_Date_20240603.tif,8.421551757306204,7.954043568759197,7.449688489748402,368,265039,10.98
ImgROI_1038_Tile_00_Date_20240603.tif,9.422224217990207,8.880068031656947,8.541257408205242,269,187391,25.56
ImgROI_1039_Tile_00_Date_20240603.tif,10.312690589255745,10.118955161501868,9.913429336238686,152,96099,52.31
ImgROI_1040_Tile_00_Date_20240603.tif,9.752959308941012,9.246156302127297,8.947857360839858,370,158817,28.18
