name,raw_R_entropy,raw_G_entropy,raw_B_entropy,raw_total_objects,raw_total_area,masked_R_entropy,masked_G_entropy,masked_B_entropy,masked_total_objects,masked_total_area,cloud_area,cloud_percentage,R_entropy_diff,G_entropy_diff,B_entropy_diff,total_objects_diff,delta_no
ImgROI_0_Tile_00_Date_20240603.tif,7.955149541643375,7.672452671313777,7.386339114530689,45,32792,6.511144899292369,6.500724636385681,6.503619854308348,75,42383,0,0.0,1.4440046423510058,1.1717280349280959,0.8827192602223413,30,66.66666666666666
ImgROI_1000_Tile_00_Date_20240603.tif,8.552266797495488,8.182454036893029,7.8626736801189,13,11103,7.035135323637594,7.073681791986653,7.11721068135043,18,19682,37690,14.38,1.5171314738578934,1.1087722449063762,0.7454629987684696,5,38.46153846153847
ImgROI_1001_Tile_00_Date_20240603.tif,7.13226564476935,6.3734691355809545,5.917983426807323,29,272295,6.657724271924752,6.736443472840001,6.751603845625848,26,270096,0,0.0,0.4745413728445982,-0.3629743372590468,-0.8336204188185246,-3,-10.344827586206897
ImgROI_1002_Tile_00_Date_20240603.tif,9.598939287283429,9.476136190807686,9.5137504470277,0,0,2.014890581265792,1.8053009847550043,1.794409672285473,14,7113,243103,92.74,7.5840487060176365,7.670835206052682,7.719340774742227,14,0.0
ImgROI_1003_Tile_00_Date_20240603.tif,9.712341944949944,9.416096095382729,9.207639039193708,34,44287,6.642757175995673,6.8344310426723744,6.8937113430760215,49,84935,104406,39.83,3.0695847689542717,2.5816650527103544,2.3139276961176867,15,44.11764705882353
ImgROI_1004_Tile_00_Date_20240603.tif,9.397921461446336,9.030328078465452,8.773413510466353,21,40940,4.479186389551413,4.276778794018387,4.309730304760188,22,264137,48016,18.32,4.918735071894923,4.753549284447065,4.4636832057061655,1,4.761904761904762
ImgROI_1005_Tile_00_Date_20240603.tif,7.37610393554302,6.378028499641698,6.168463613523666,35,269685,6.710188715530514,6.6410886025194245,6.711219530586205,35,269685,0,0.0,0.6659152200125051,-0.2630601028777262,-0.5427559170625393,0,0.0
ImgROI_1006_Tile_00_Date_20240603.tif,10.00893341780381,9.860906943907338,9.875966896446023,4,1441,2.821692968360711,2.84042413047812,2.862878237400379,10,46106,209504,79.92,7.187240449443099,7.0204828134292185,7.0130886590456445,6,150.0
ImgROI_1007_Tile_00_Date_20240603.tif,10.319753769366477,9.99306246804255,9.873288258406262,28,30313,6.016910374536916,6.020163802487663,5.956232335799851,39,53178,136139,51.93,4.30284339482956,3.9728986655548875,3.9170559226064112,11,39.285714285714285
ImgROI_1008_Tile_00_Date_20240603.tif,9.567298641000283,9.142011882135558,8.913921316293292,31,35888,7.019507889705092,7.057101704179623,7.08885484814875,34,65941,85879,32.76,2.5477907512951914,2.0849101779559343,1.8250664681445423,3,9.67741935483871
ImgROI_1009_Tile_00_Date_20240603.tif,9.35085478734521,8.921209975716968,8.672904131609073,47,54869,7.9437262369029185,7.917898026072222,7.9271199696585795,48,44135,65333,24.92,1.407128550442291,1.003311949644746,0.7457841619504935,1,2.127659574468085
ImgROI_100_Tile_00_Date_20240603.tif,9.020237459983694,8.46271115637007,8.182924086060217,213,300384,7.248261919918327,7.290248835166089,7.214905805270444,217,230368,10202,3.89,1.771975540065367,1.1724623212039802,0.9680182807897726,4,1.8779342723004695
ImgROI_1010_Tile_00_Date_20240603.tif,6.591991628920471,5.817659807638775,5.42881825789058,43,348879,6.472856283942402,6.5168195016549175,6.466284198834921,43,348879,0,0.0,0.11913534497806921,-0.6991596940161422,-1.0374659409443412,0,0.0
ImgROI_1011_Tile_00_Date_20240603.tif,7.993902350785449,7.728476635517273,7.667562365596103,2,438,6.813858088376642,6.810718879331455,6.771529820366133,3,656,37354,14.25,1.1800442624088072,0.9177577561858179,0.8960325452299696,1,50.0
ImgROI_1012_Tile_00_Date_20240603.tif,9.849181046990308,9.543301607031978,9.424718204113317,22,12901,7.112251480896314,7.092750686769606,6.985386306561134,24,23443,144995,55.31,2.736929566093994,2.450550920262372,2.439331897552183,2,9.090909090909092
ImgROI_1013_Tile_00_Date_20240603.tif,6.929479983257041,6.44830014194268,6.028421892670558,10,21874,6.599281446878777,6.584906413361172,6.594526040824647,10,21874,6659,2.54,0.3301985363782638,-0.1366062714184917,-0.5661041481540892,0,0.0
ImgROI_1014_Tile_00_Date_20240603.tif,9.106215178889348,8.731943797226648,8.39787463935053,35,45530,8.107262499667947,8.112164753097167,8.088950654481616,40,59321,75834,28.93,0.9989526792214019,0.6197790441294817,0.3089239848689136,5,14.285714285714285
ImgROI_1015_Tile_00_Date_20240603.tif,8.608061820304071,7.787574079569628,7.470659081324715,96,221242,7.900821514470643,7.920233799114055,7.916051262709389,94,219782,35834,13.67,0.7072403058334285,-0.13265971954442612,-0.4453921813846735,-2,-2.083333333333333
ImgROI_1016_Tile_00_Date_20240603.tif,8.600411210933652,8.143313782880911,7.88479825349881,67,148030,7.505090658566299,7.519600888376768,7.553377872961726,67,151140,76633,29.23,1.0953205523673528,0.623712894504143,0.3314203805370841,0,0.0
