name,masked_R_entropy,masked_G_entropy,masked_B_entropy,masked_total_objects,masked_total_area,cloud_area,cloud_percentage
ImgROI_0_Tile_00_Date_20240603.tif,7.216586704440648,7.217710156384407,7.151470789627781,134,43132,0,0.0
ImgROI_1000_Tile_00_Date_20240603.tif,5.47188016447783,5.653224053265075,5.791670433121019,27,118851,37690,14.38
ImgROI_1001_Tile_00_Date_20240603.tif,6.657724271924752,6.736443472840001,6.751603845625848,7,269111,0,0.0
ImgROI_1002_Tile_00_Date_20240603.tif,0.051875962588491455,0.051875962588491455,0.051875962588491455,0,0,243103,92.74
ImgROI_1003_Tile_00_Date_20240603.tif,1.2509104194042227,1.1993068101160844,1.1647356541066982,43,95616,104406,39.83
ImgROI_1004_Tile_00_Date_20240603.tif,3.060811180499178,3.0212588771313404,3.0004104460780825,22,165790,48016,18.32
ImgROI_1005_Tile_00_Date_20240603.tif,6.710188715530514,6.6410886025194245,6.711219530586205,10,328248,0,0.0
ImgROI_1006_Tile_00_Date_20240603.tif,0.051875962588491455,0.051875962588491455,0.051875962588491455,0,0,209504,79.92
ImgROI_1007_Tile_00_Date_20240603.tif,1.9186654511778172,1.9398547572817735,1.9581215908826655,47,114174,136139,51.93
ImgROI_1008_Tile_00_Date_20240603.tif,6.673473662423651,6.7212454682612055,6.705861895857446,65,252020,85879,32.76
ImgROI_1009_Tile_00_Date_20240603.tif,7.290407423137307,7.224223320277757,7.209338388594051,57,228401,65333,24.92
ImgROI_100_Tile_00_Date_20240603.tif,6.517788356715549,6.522661280297297,6.475733535941007,121,356242,10202,3.89
ImgROI_1010_Tile_00_Date_20240603.tif,6.472856283942402,6.5168195016549175,6.466284198834921,12,383745,0,0.0
ImgROI_1011_Tile_00_Date_20240603.tif,6.304424224554535,6.276619719670668,6.2302788609358455,13,9405,37354,14.25
ImgROI_1012_Tile_00_Date_20240603.tif,2.759269012914398,2.7770072354225763,2.7880725331720404,70,126251,144995,55.31
ImgROI_1013_Tile_00_Date_20240603.tif,6.053652105718125,6.051576551413147,6.043862841936709,4,19239,6659,2.54
ImgROI_1014_Tile_00_Date_20240603.tif,6.5928783750550135,6.577642120637117,6.574767642272451,43,67085,75834,28.93
ImgROI_1015_Tile_00_Date_20240603.tif,4.9315815950198765,4.97414955388556,5.007674095824692,125,209618,35834,13.67
ImgROI_1016_Tile_00_Date_20240603.tif,7.1926657906087295,7.172689437427686,7.167758087702092,95,216692,76633,29.23
ImgROI_1017_Tile_00_Date_20240603.tif,7.285719320590808,7.291244958477608,7.260195891987211,116,333795,0,0.0
ImgROI_1018_Tile_00_Date_20240603.tif,2.062446468137806,2.0261341765655745,2.13948456994716,5,4815,163965,62.55
ImgROI_1019_Tile_00_Date_20240603.tif,2.728073365296291,2.7899672515668206,2.7411622912372287,49,257772,104454,39.85
ImgROI_101_Tile_00_Date_20240603.tif,0.4617989126607483,0.40803855209832723,0.37037179251020924,24,22288,108516,41.4
